FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
0.8868,0.8823,1.7729,1085.0,0.94,1.0,0.97,0.06,0.1159
0.5236,0.0,0.8898,,,,,,
0.2959,0.0,0.0,,,,,,
,,,,,,,,
8.7427,3.799,2.6516,,,,,,
2.0563,1.158,1.6989,,,,,,
1.6614,0.5795,2.4357,1074.29,0.91,1.0,0.96,0.09,0.1541
0.5643,0.0,0.0,,,,,,
,,,,,,,,
3.5317,2.9286,6.9818,,,,,,
1.1678,1.1715,7.657,,,,,,
2.3037,2.4929,7.9065,1070.57,0.76,0.81,0.79,0.05,0.1965
1.1338,2.014,1.7685,,,,,,
1.4253,1.7428,5.9666,,,,,,
,,,,,,,,
2.7989,4.913,8.5504,,,,,,
2.287,1.3423,3.4038,,,,,,
1.0486,1.1018,5.1556,1076.37,0.82,0.9,0.86,0.08,0.1406
0.5285,0.5622,3.2004,,,,,,
0.2748,0.0,0.0,,,,,,
,,,,,,,,
3.3931,3.2333,6.1475,,,,,,
1.7172,1.1497,2.5763,,,,,,
1.165,1.6836,1.7103,1067.78,0.79,0.81,0.8,0.02,0.1484
0.8902,0.88,1.6293,,,,,,
,,,,,,,,
4.6769,3.2087,3.5026,,,,,,
0.285,1.4414,0.0,,,,,,
2.1533,1.2981,2.4571,1073.39,0.88,0.95,0.92,0.07,0.1402
0.5596,1.4251,0.8814,,,,,,
,,,,,,,,
0.0,0.2848,1.7252,,,,,,
0.5934,0.8409,4.9694,,,,,,
0.5561,2.1755,9.0329,1076.26,0.82,0.9,0.86,0.08,0.1428
1.9935,1.213,4.7411,,,,,,
2.6219,4.6484,0.5779,,,,,,
,,,,,,,,
3.2561,4.8704,5.1718,,,,,,
0.5925,0.8414,2.4105,,,,,,
1.4357,0.5823,4.3338,1078.86,0.85,0.9,0.88,0.05,0.1387
0.9838,1.105,3.5945,,,,,,
1.5788,0.8464,0.0,,,,,,
,,,,,,,,
0.8379,3.4642,11.7172,,,,,,
3.4625,2.5623,7.0066,,,,,,
1.6575,2.9301,9.3689,1072.1,0.82,0.9,0.86,0.08,0.2259
3.3998,1.9918,6.8166,,,,,,
1.586,1.1246,0.8901,,,,,,
,,,,,,,,
0.2987,3.1444,7.7378,,,,,,
2.0143,2.5768,6.872,,,,,,
2.568,0.8712,6.7727,1075.41,0.88,0.95,0.92,0.07,0.2398
3.7621,2.3362,9.3552,,,,,,
4.6263,3.1579,4.374,,,,,,
,,,,,,,,
