FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
,,,,,,,,,,,,
0.0,0.0,18.5708,1125.96,0.81,0.72,0.77,0.09,1.0,1.0,1.0,0.0,0.1704
,,,,,,,,,,,,
0.0,0.2992,18.7353,1125.87,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1813
,,,,,,,,,,,,
0.0,0.0,18.6387,1128.92,0.81,0.74,0.78,0.07,1.0,1.0,1.0,0.0,0.1708
,,,,,,,,,,,,
0.0,0.2998,18.7033,1125.89,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1811
,,,,,,,,,,,,
0.0,0.0,18.7629,1126.85,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1715
,,,,,,,,,,,,
0.0,0.2949,18.7118,1125.9,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.181
,,,,,,,,,,,,
0.0,0.2862,18.6369,1125.97,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1803
,,,,,,,,,,,,
0.0,0.0,18.7044,1126.89,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1711
,,,,,,,,,,,,
0.0,0.291,18.6938,1125.92,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1808
,,,,,,,,,,,,
0.0,0.0,18.6529,1126.91,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1709
,,,,,,,,,,,,
0.0,0.2815,18.6977,1125.95,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1805
,,,,,,,,,,,,
0.0,0.0,18.6436,1126.92,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1708
,,,,,,,,,,,,
0.0,0.0,18.6277,1128.93,0.81,0.74,0.78,0.07,1.0,1.0,1.0,0.0,0.1707
,,,,,,,,,,,,
0.0,0.2979,18.7656,1125.86,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1814
,,,,,,,,,,,,
0.0,0.0,18.665,1126.91,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1709
,,,,,,,,,,,,
0.0,0.0,18.7782,1126.85,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1715
,,,,,,,,,,,,
0.0,0.0,18.5971,1128.94,0.81,0.74,0.78,0.07,1.0,1.0,1.0,0.0,0.1706
,,,,,,,,,,,,
0.0,0.0,19.4483,1133.49,0.85,0.79,0.82,0.06,1.0,1.0,1.0,0.0,0.1751
,,,,,,,,,,,,
0.0,0.2958,19.4634,1132.49,0.85,0.79,0.82,0.06,1.0,1.0,1.0,0.0,0.1851
,,,,,,,,,,,,
0.0,0.0,0.8968,,,,,,,,,,
0.0,0.5962,19.5646,1164.72,0.87,0.79,0.83,0.08,1.0,1.0,1.0,0.0,0.1028
,,,,,,,,,,,,
0.0,0.2958,18.6332,1125.94,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1806
,,,,,,,,,,,,
0.0,0.0,18.6154,1128.93,0.81,0.74,0.78,0.07,1.0,1.0,1.0,0.0,0.1707
,,,,,,,,,,,,
0.0,0.0,18.6392,1128.92,0.81,0.74,0.78,0.07,1.0,1.0,1.0,0.0,0.1708
,,,,,,,,,,,,
0.0,0.0,18.7327,1126.87,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1713
,,,,,,,,,,,,
4.0587,2.8916,1.6853,,,,,,,,,,
1.1517,0.296,2.6327,,,,,,,,,,
0.2955,0.2985,0.0,1207.5,0.73,0.82,0.77,0.09,1.0,1.0,1.0,0.0,0.105
0.5871,1.4735,1.7932,,,,,,,,,,
,,,,,,,,,,,,
0.0,0.0,18.741,1126.87,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1713
,,,,,,,,,,,,
0.0,0.5968,19.6511,1133.4,0.87,0.81,0.84,0.06,1.0,1.0,1.0,0.0,0.196
,,,,,,,,,,,,
2.9491,2.9039,3.5175,,,,,,,,,,
2.0741,0.2971,2.6197,,,,,,,,,,
1.471,0.289,3.5118,1252.88,0.72,0.78,0.75,0.06,2.0,2.0,2.0,0.0,0.1612
1.4783,2.9418,7.0234,,,,,,,,,,
,,,,,,,,,,,,
3.2166,2.8929,7.1022,,,,,,,,,,
0.0,1.1196,5.1039,,,,,,,,,,
1.7477,1.0914,3.2125,1253.26,0.73,0.78,0.76,0.05,2.0,2.0,2.0,0.0,0.1774
2.5332,2.1915,5.9183,,,,,,,,,,
,,,,,,,,,,,,
2.3616,0.5951,0.0,,,,,,,,,,
0.0,0.291,0.8987,,,,,,,,,,
0.2962,0.0,2.6046,1208.73,0.8,0.71,0.76,0.09,1.0,1.0,1.0,0.0,0.0827
0.0,0.8614,15.0464,,,,,,,,,,
