capital-gain,hours-per-week,educational-num,Reward,Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
8631,3.0,3.0,1066.76,1.0,1.0,1.0,0.0,0.368
,,,,,,,,
8722,6.0,1.0,1065.52,1.0,1.0,1.0,0.0,0.3818
,,,,,,,,
8525,5.0,1.0,1061.51,1.0,1.0,1.0,0.0,0.3778
,,,,,,,,
8114,5.0,2.0,1057.9,1.0,1.0,1.0,0.0,0.3755
,,,,,,,,
8744,11.0,0.0,1093.85,1.0,1.0,1.0,0.0,0.0664
,,,,,,,,
8558,3.0,0.0,1096.52,1.0,1.0,1.0,0.0,0.0387
,,,,,,,,
8944,18.0,3.0,1062.13,1.0,1.0,1.0,0.0,0.4198
,,,,,,,,
9486,10.0,1.0,1059.97,1.0,1.0,1.0,0.0,0.3979
,,,,,,,,
7797,3.0,0.0,1096.74,1.0,1.0,1.0,0.0,0.0362
,,,,,,,,
8829,5.0,5.0,1062.02,1.0,1.0,1.0,0.0,0.3738
,,,,,,,,
8847,7.0,0.0,1090.73,1.0,1.0,1.0,0.0,0.0532
,,,,,,,,
8290,0.0,0.0,1097.52,1.0,1.0,1.0,0.0,0.0276
,,,,,,,,
7899,0.0,0.0,1093.48,1.0,1.0,1.0,0.0,0.0263
,,,,,,,,
8641,9.0,2.0,1064.83,1.0,1.0,1.0,0.0,0.3908
,,,,,,,,
7177,0.0,0.0,1093.44,1.0,1.0,1.0,0.0,0.0239
,,,,,,,,
8483,17.0,2.0,1062.43,1.0,1.0,1.0,0.0,0.4174
,,,,,,,,
8707,2.0,1.0,1066.86,1.0,1.0,1.0,0.0,0.3682
,,,,,,,,
8495,3.0,0.0,1096.54,1.0,1.0,1.0,0.0,0.0385
,,,,,,,,
7201,0.0,0.0,1097.84,1.0,1.0,1.0,0.0,0.024
,,,,,,,,
8464,0.0,1.0,1067.43,1.0,1.0,1.0,0.0,0.3606
,,,,,,,,
7652,6.0,1.0,1065.85,1.0,1.0,1.0,0.0,0.3782
,,,,,,,,
8750,5.0,0.0,1095.85,1.0,1.0,1.0,0.0,0.0461
,,,,,,,,
8397,3.0,1.0,1066.65,1.0,1.0,1.0,0.0,0.3706
,,,,,,,,
8720,0.0,1.0,1067.46,1.0,1.0,1.0,0.0,0.3615
,,,,,,,,
8700,3.0,0.0,1096.47,1.0,1.0,1.0,0.0,0.0392
,,,,,,,,
8712,3.0,0.0,1096.47,1.0,1.0,1.0,0.0,0.0392
,,,,,,,,
8637,6.0,3.0,1061.7,1.0,1.0,1.0,0.0,0.3782
,,,,,,,,
8855,0.0,0.0,1097.34,1.0,1.0,1.0,0.0,0.0295
,,,,,,,,
8760,0.0,1.0,1067.46,1.0,1.0,1.0,0.0,0.3616
,,,,,,,,
7880,3.0,1.0,1066.71,1.0,1.0,1.0,0.0,0.3688
,,,,,,,,
8860,2.0,0.0,1096.73,1.0,1.0,1.0,0.0,0.0363
,,,,,,,,
8719,8.0,0.0,1094.77,1.0,1.0,1.0,0.0,0.0562
,,,,,,,,
8753,5.0,0.0,1095.85,1.0,1.0,1.0,0.0,0.0461
,,,,,,,,
10413,3.0,2.0,1066.0,1.0,1.0,1.0,0.0,0.3764
,,,,,,,,
7434,11.0,0.0,1085.99,1.0,1.0,1.0,0.0,0.062
,,,,,,,,
8148,4.0,0.0,1096.34,1.0,1.0,1.0,0.0,0.0407
,,,,,,,,
8360,0.0,1.0,1067.57,1.0,1.0,1.0,0.0,0.3603
,,,,,,,,
9446,0.0,0.0,1097.05,1.0,1.0,1.0,0.0,0.0315
,,,,,,,,
8531,5.0,0.0,1095.75,1.0,1.0,1.0,0.0,0.0454
,,,,,,,,
8811,2.0,1.0,1066.84,1.0,1.0,1.0,0.0,0.3685
,,,,,,,,
7762,12.0,0.0,1093.93,1.0,1.0,1.0,0.0,0.0665
,,,,,,,,
7687,7.0,0.0,1095.56,1.0,1.0,1.0,0.0,0.0493
,,,,,,,,
8643,6.0,0.0,1095.58,1.0,1.0,1.0,0.0,0.0491
,,,,,,,,
8363,5.0,0.0,1095.97,1.0,1.0,1.0,0.0,0.0448
,,,,,,,,
8117,9.0,3.0,1065.08,1.0,1.0,1.0,0.0,0.3866
,,,,,,,,
