capital-gain,hours-per-week,educational-num,Reward,Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
,,,,,,,,
7875,6.0,2.0,1061.52,1.0,1.0,1.0,0.0,0.2129
,,,,,,,,
9384,21.0,3.0,1057.16,1.0,1.0,1.0,0.0,0.2468
,,,,,,,,
8704,0.0,0.0,1073.55,1.0,1.0,1.0,0.0,0.029
,,,,,,,,
9066,3.0,1.0,1063.21,1.0,1.0,1.0,0.0,0.2288
,,,,,,,,
8152,10.0,1.0,1059.79,1.0,1.0,1.0,0.0,0.2494
,,,,,,,,
8490,9.0,1.0,1060.04,1.0,1.0,1.0,0.0,0.2472
,,,,,,,,
8802,9.0,2.0,1063.7,1.0,1.0,1.0,0.0,0.2261
,,,,,,,,
7447.0,18,2.0,1059.96,1.0,1.0,1.0,0.0,0.2521
,,,,,,,,
7391,18.0,2.0,1060.21,1.0,1.0,1.0,0.0,0.2519
,,,,,,,,
8804,9.0,0.0,1072.01,1.0,1.0,1.0,0.0,0.0598
,,,,,,,,
8377,3.0,1.0,1063.68,1.0,1.0,1.0,0.0,0.2265
,,,,,,,,
8615,3.0,0.0,1073.06,1.0,1.0,1.0,0.0,0.0389
,,,,,,,,
7707,3.0,1.0,1063.79,1.0,1.0,1.0,0.0,0.2242
,,,,,,,,
8206,0.0,0.0,1071.12,1.0,1.0,1.0,0.0,0.0274
,,,,,,,,
8805,0.0,1.0,1064.11,1.0,1.0,1.0,0.0,0.2177
,,,,,,,,
8699,0.0,0.0,1073.55,1.0,1.0,1.0,0.0,0.029
,,,,,,,,
8182,6.0,0.0,1072.38,1.0,1.0,1.0,0.0,0.0476
,,,,,,,,
8342,0.0,1.0,1064.19,1.0,1.0,1.0,0.0,0.2162
,,,,,,,,
10074,1.0,0.0,1072.66,1.0,1.0,1.0,0.0,0.037
,,,,,,,,
8559,0.0,0.0,1073.58,1.0,1.0,1.0,0.0,0.0285
,,,,,,,,
9639,17.0,0.0,1070.51,1.0,1.0,1.0,0.0,0.0898
,,,,,,,,
8384,6.0,0.0,1072.58,1.0,1.0,1.0,0.0,0.0483
,,,,,,,,
7748,2.0,2.0,1064.94,1.0,1.0,1.0,0.0,0.1989
,,,,,,,,
8659,0.0,0.0,1073.43,1.0,1.0,1.0,0.0,0.0289
,,,,,,,,
9649,6.0,1.0,1062.86,1.0,1.0,1.0,0.0,0.2409
,,,,,,,,
8801,0.0,0.0,1073.54,1.0,1.0,1.0,0.0,0.0293
,,,,,,,,
8797,3.0,1.0,1063.6,1.0,1.0,1.0,0.0,0.2279
,,,,,,,,
7966,6.0,0.0,1072.66,1.0,1.0,1.0,0.0,0.0469
,,,,,,,,
8659,0.0,2.0,1065.11,1.0,1.0,1.0,0.0,0.1951
,,,,,,,,
8559,3.0,2.0,1064.62,1.0,1.0,1.0,0.0,0.205
,,,,,,,,
7982,0.0,0.0,1073.67,1.0,1.0,1.0,0.0,0.0266
,,,,,,,,
8798,0.0,0.0,1073.54,1.0,1.0,1.0,0.0,0.0293
,,,,,,,,
8786,3.0,1.0,1063.47,1.0,1.0,1.0,0.0,0.2278
,,,,,,,,
10097,0.0,0.0,1073.32,1.0,1.0,1.0,0.0,0.0337
,,,,,,,,
8167,0.0,0.0,1073.64,1.0,1.0,1.0,0.0,0.0272
,,,,,,,,
8584,1.0,2.0,1065.09,1.0,1.0,1.0,0.0,0.1982
,,,,,,,,
8784,1.0,2.0,1065.06,1.0,1.0,1.0,0.0,0.1989
,,,,,,,,
8692,3.0,1.0,1061.11,1.0,1.0,1.0,0.0,0.2275
,,,,,,,,
8649,2.0,0.0,1073.22,1.0,1.0,1.0,0.0,0.0356
,,,,,,,,
8465,0.0,0.0,1073.59,1.0,1.0,1.0,0.0,0.0282
,,,,,,,,
8568,3.0,0.0,1073.06,1.0,1.0,1.0,0.0,0.0387
,,,,,,,,
8162,3.0,3.0,1065.91,1.0,1.0,1.0,0.0,0.1818
,,,,,,,,
8425,3.0,1.0,1063.42,1.0,1.0,1.0,0.0,0.2266
,,,,,,,,
8575,3.0,0.0,1073.06,1.0,1.0,1.0,0.0,0.0388
,,,,,,,,
8316,3.0,0.0,1073.1,1.0,1.0,1.0,0.0,0.0379
,,,,,,,,
10084,6.0,1.0,1062.88,1.0,1.0,1.0,0.0,0.2423
,,,,,,,,
8818,6.0,0.0,1072.52,1.0,1.0,1.0,0.0,0.0497
,,,,,,,,
8433,5.0,1.0,1063.33,1.0,1.0,1.0,0.0,0.2334
,,,,,,,,
8815,0.0,0.0,1073.53,1.0,1.0,1.0,0.0,0.0294
,,,,,,,,
8611,0.0,0.0,1073.56,1.0,1.0,1.0,0.0,0.0287
,,,,,,,,
10338,1.0,1.0,1063.55,1.0,1.0,1.0,0.0,0.2262
,,,,,,,,
8675,0.0,0.0,1073.56,1.0,1.0,1.0,0.0,0.0289
,,,,,,,,
8835,0.0,0.0,1073.53,1.0,1.0,1.0,0.0,0.0295
,,,,,,,,
9592,16.0,5.0,1065.36,1.0,1.0,1.0,0.0,0.1892
,,,,,,,,
9995,7.0,0.0,1072.14,1.0,1.0,1.0,0.0,0.0571
,,,,,,,,
8539,6.0,0.0,1072.56,1.0,1.0,1.0,0.0,0.0488
,,,,,,,,
8571,3.0,0.0,1073.06,1.0,1.0,1.0,0.0,0.0387
,,,,,,,,
8815,5.0,0.0,1072.68,1.0,1.0,1.0,0.0,0.0464
,,,,,,,,
8239,6.0,1.0,1063.19,1.0,1.0,1.0,0.0,0.2362
,,,,,,,,
8633,0.0,0.0,1073.56,1.0,1.0,1.0,0.0,0.0288
,,,,,,,,
8917,0.0,1.0,1064.1,1.0,1.0,1.0,0.0,0.2181
,,,,,,,,
8102,0.0,0.0,1073.65,1.0,1.0,1.0,0.0,0.027
,,,,,,,,
8282,3.0,0.0,1073.11,1.0,1.0,1.0,0.0,0.0378
,,,,,,,,
7899,6.0,2.0,1064.09,1.0,1.0,1.0,0.0,0.2129
,,,,,,,,
8921,3.0,1.0,1063.58,1.0,1.0,1.0,0.0,0.2283
,,,,,,,,
7898,0.0,0.0,1073.68,1.0,1.0,1.0,0.0,0.0263
,,,,,,,,
8834,9.0,0.0,1072.0,1.0,1.0,1.0,0.0,0.0599
,,,,,,,,
