capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
0.0,8.0,0.0,1199.41,0.97,0.98,0.97,0.01,0.2799
8850,8.0,1.0,,,,,,
,,,,,,,,
2925.0,14.0,2.0,,,,,,
10287,14.0,4.0,,,,,,
6378.0,6.0,7.0,1213.32,0.99,1.0,0.99,0.01,0.3809
5226.0,8.0,8.0,,,,,,
2988.0,9.0,1.0,,,,,,
,,,,,,,,
5532.0,0.0,0.0,,,,,,
0.0,3.0,3.0,,,,,,
8780,0.0,2.0,1224.25,0.96,0.98,0.97,0.02,0.2161
420.0,3.0,1.0,,,,,,
5391.0,0.0,0.0,,,,,,
,,,,,,,,
5899.0,3.0,2.0,,,,,,
0.0,3.0,0.0,,,,,,
2776.0,3.0,3.0,1198.77,0.96,0.97,0.96,0.01,0.2703
8598,0.0,1.0,,,,,,
,,,,,,,,
8030,6.0,1.0,,,,,,
0.0,9.0,0.0,,,,,,
5799.0,0.0,1.0,1221.62,0.95,0.97,0.96,0.02,0.2287
5730.0,3.0,1.0,,,,,,
0.0,6.0,0.0,,,,,,
,,,,,,,,
2901.0,9.0,3.0,,,,,,
10351,5.0,0.0,,,,,,
2787.0,6.0,0.0,1217.25,0.99,1.0,0.99,0.01,0.115
2955.0,0.0,0.0,,,,,,
,,,,,,,,
2935.0,2.0,1.0,,,,,,
2974.0,0.0,0.0,,,,,,
2895.0,4.0,0.0,1234.45,0.99,0.99,0.99,0.0,0.1561
0.0,6.0,1.0,,,,,,
8581,5.0,0.0,,,,,,
,,,,,,,,
2963.0,15.0,8.0,,,,,,
8509,6.0,3.0,,,,,,
2767.0,5.0,2.0,1211.72,0.97,0.98,0.97,0.01,0.3653
7196.0,0.0,3.0,,,,,,
0.0,5.0,1.0,,,,,,
,,,,,,,,
7798,0.0,1.0,,,,,,
0.0,3.0,1.0,,,,,,
0.0,1.0,0.0,1204.12,0.87,0.79,0.83,0.08,0.1464
5245.0,3.0,0.0,,,,,,
-20.0,0.0,0.0,,,,,,
,,,,,,,,
8857,14.0,0.0,,,,,,
5668.0,5.0,1.0,,,,,,
5766.0,9.0,1.0,1217.5,0.99,1.0,0.99,0.01,0.3345
0.0,9.0,6.0,,,,,,
2277.0,68.0,13.0,,,,,,
,,,,,,,,
2834.0,7.0,0.0,,,,,,
8084,5.0,0.0,,,,,,
2669.0,0.0,0.0,1238.08,0.98,0.99,0.98,0.01,0.0891
0.0,6.0,0.0,,,,,,
0.0,2.0,1.0,,,,,,
,,,,,,,,
5799.0,10.0,1.0,,,,,,
2982.0,9.0,2.0,,,,,,
2889.0,5.0,1.0,1215.94,1.0,1.0,1.0,0.0,0.3785
0.0,3.0,5.0,,,,,,
8497,24.0,3.0,,,,,,
,,,,,,,,
2918.0,8.0,1.0,,,,,,
8500,0.0,0.0,,,,,,
2524.0,0.0,1.0,1204.41,0.99,0.99,0.99,0.0,0.2677
0.0,0.0,1.0,,,,,,
,,,,,,,,
3526.0,6.0,3.0,,,,,,
8584,15.0,3.0,,,,,,
4421.0,3.0,3.0,1214.51,0.99,1.0,0.99,0.01,0.3677
5886.0,6.0,1.0,,,,,,
0.0,3.0,1.0,,,,,,
,,,,,,,,
5768.0,6.0,0.0,,,,,,
8967,0.0,1.0,,,,,,
0.0,6.0,1.0,1223.1100000000001,0.96,0.98,0.97,0.02,0.2288
2977.0,3.0,1.0,,,,,,
4901.0,6.0,0.0,,,,,,
,,,,,,,,
5700.0,5.0,4.0,,,,,,
5177.0,7.0,2.0,,,,,,
8029,0.0,2.0,1213.83,0.94,0.95,0.94,0.01,0.2919
2931.0,2.0,3.0,,,,,,
2966.0,3.0,0.0,,,,,,
,,,,,,,,
2993.0,6.0,3.0,,,,,,
8887,9.0,2.0,,,,,,
5719.0,0.0,0.0,1209.22,0.98,0.98,0.98,0.0,0.1976
0.0,6.0,0.0,,,,,,
,,,,,,,,
5417.0,6.0,2.0,,,,,,
3631.0,2.0,2.0,,,,,,
