capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
8823,3.0,0.0,1061.97,0.99,1.0,0.99,0.01,0.0396
,,,,,,,,
8835,3.0,1.0,1049.96,0.98,0.99,0.98,0.01,0.2306
,,,,,,,,
8794,3.0,1.0,1049.8,0.98,0.99,0.98,0.01,0.2304
,,,,,,,,
8345,6.0,5.0,1053.43,0.98,0.99,0.98,0.01,0.1534
,,,,,,,,
8412,1.0,0.0,1062.88,0.99,0.99,0.99,0.0,0.0314
,,,,,,,,
8826,0.0,0.0,1062.48,0.99,1.0,0.99,0.01,0.0294
,,,,,,,,
8584,3.0,1.0,1051.92,0.98,0.99,0.98,0.01,0.2297
,,,,,,,,
7866,2.0,0.0,1058.47,0.96,0.97,0.96,0.01,0.033
,,,,,,,,
8823,0.0,1.0,1052.38,0.98,0.99,0.98,0.01,0.2204
,,,,,,,,
8838,7.0,2.0,1052.2,0.98,0.99,0.98,0.01,0.2221
,,,,,,,,
8927,6.0,0.0,1059.54,0.99,1.0,0.99,0.01,0.0501
,,,,,,,,
8929,6.0,1.0,1052.28,0.99,0.99,0.99,0.0,0.2411
,,,,,,,,
8660,0.0,0.0,1062.5,0.99,1.0,0.99,0.01,0.0289
,,,,,,,,
8909,1.0,0.0,1062.29,0.99,1.0,0.99,0.01,0.0331
,,,,,,,,
8286,6.0,1.0,1050.86,0.97,0.99,0.98,0.02,0.2389
,,,,,,,,
8740,0.0,0.0,1062.5,0.99,1.0,0.99,0.01,0.0291
,,,,,,,,
8344,4.0,1.0,1051.78,0.98,0.99,0.98,0.01,0.2323
,,,,,,,,
8623,0.0,2.0,1053.52,0.98,0.99,0.98,0.01,0.1976
,,,,,,,,
8607,6.0,3.0,1053.42,0.98,0.99,0.98,0.01,0.196
,,,,,,,,
8338,3.0,0.0,1062.55,0.99,0.99,0.99,0.0,0.038
,,,,,,,,
8720,0.0,0.0,1062.5,0.99,1.0,0.99,0.01,0.0291
,,,,,,,,
8732,3.0,0.0,1061.75,0.99,1.0,0.99,0.01,0.0393
,,,,,,,,
9867,6.0,0.0,1061.13,0.99,1.0,0.99,0.01,0.0532
,,,,,,,,
8058,12.0,1.0,1050.29,0.98,0.99,0.98,0.01,0.2585
,,,,,,,,
8707,0.0,2.0,1053.5,0.98,0.99,0.98,0.01,0.1979
,,,,,,,,
8649,5.0,2.0,1050.42,0.98,0.99,0.98,0.01,0.2147
,,,,,,,,
8661,0.0,0.0,1062.5,0.99,1.0,0.99,0.01,0.0289
,,,,,,,,
8152,8.0,0.0,1060.68,0.98,0.99,0.98,0.01,0.0543
,,,,,,,,
8235,2.0,1.0,1051.64,0.97,0.99,0.98,0.02,0.2252
,,,,,,,,
8070,2.0,0.0,1061.72,0.98,0.99,0.98,0.01,0.0337
,,,,,,,,
8656,15.0,2.0,1049.48,0.99,1.0,0.99,0.01,0.2486
,,,,,,,,
8527,2.0,1.0,1050.18,0.98,0.99,0.98,0.01,0.2262
,,,,,,,,
8142,2.0,0.0,1061.7,0.98,0.99,0.98,0.01,0.0339
,,,,,,,,
8434,0.0,0.0,1063.04,0.99,0.99,0.99,0.0,0.0281
