FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
,,,,,,,,
0.0,0.0,19.3825,1116.17,0.85,0.76,0.8,0.09,0.1748
,,,,,,,,
0.0,0.0,18.7267,1113.48,0.83,0.74,0.78,0.09,0.1713
,,,,,,,,
0.0,0.0,19.3597,1116.18,0.85,0.76,0.8,0.09,0.1747
,,,,,,,,
0.0,0.0,18.723,1113.49,0.83,0.74,0.78,0.09,0.1712
,,,,,,,,
0.0,0.0,18.7197,1113.49,0.83,0.74,0.78,0.09,0.1712
,,,,,,,,
0.0,0.0,18.7732,1113.46,0.83,0.74,0.78,0.09,0.1715
,,,,,,,,
0.0,0.0,18.6474,1113.53,0.83,0.74,0.78,0.09,0.1708
,,,,,,,,
0.0,0.2967,18.6206,1112.65,0.83,0.74,0.78,0.09,0.1806
,,,,,,,,
0.0,0.2987,19.4272,1120.95,0.85,0.79,0.82,0.06,0.185
,,,,,,,,
0.0,0.0,19.4481,1121.84,0.85,0.79,0.82,0.06,0.1751
,,,,,,,,
0.0,0.2961,18.6792,1112.62,0.83,0.74,0.78,0.09,0.1809
,,,,,,,,
0.0,0.0,19.4022,1121.86,0.85,0.79,0.82,0.06,0.1749
,,,,,,,,
0.0,0.2982,18.7211,1112.59,0.83,0.74,0.78,0.09,0.1812
,,,,,,,,
0.0,0.0,19.1467,1114.79,0.84,0.75,0.79,0.09,0.1735
,,,,,,,,
0.0,0.0,19.4436,1121.84,0.85,0.79,0.82,0.06,0.1751
,,,,,,,,
0.0,0.0,18.7009,1113.5,0.83,0.74,0.78,0.09,0.1711
,,,,,,,,
0.0,0.2717,18.6524,1112.71,0.83,0.74,0.78,0.09,0.1799
,,,,,,,,
0.0,0.0,18.5693,1112.06,0.81,0.72,0.77,0.09,0.1704
,,,,,,,,
0.0,0.2968,19.2524,1113.84,0.84,0.75,0.79,0.09,0.184
,,,,,,,,
0.0,0.0,18.6159,1115.34,0.81,0.74,0.78,0.07,0.1707
,,,,,,,,
0.0,0.0,19.3295,1116.2,0.85,0.76,0.8,0.09,0.1745
,,,,,,,,
0.0,0.2691,19.4285,1121.04,0.85,0.79,0.82,0.06,0.184
,,,,,,,,
0.2985,0.2895,18.6556,1114.15,0.83,0.75,0.79,0.08,0.1905
,,,,,,,,
0.0,0.8867,19.2617,1116.58,0.87,0.78,0.82,0.09,0.2035
,,,,,,,,
0.0,0.299,19.3895,1118.57,0.85,0.78,0.81,0.07,0.1848
,,,,,,,,
0.0,0.2972,18.6783,1112.62,0.83,0.74,0.78,0.09,0.1809
,,,,,,,,
0.0,0.0,19.1866,1114.76,0.84,0.75,0.79,0.09,0.1738
,,,,,,,,
0.0,0.2936,19.4033,1120.98,0.85,0.79,0.82,0.06,0.1847
,,,,,,,,
0.0,0.0,18.6107,1115.35,0.81,0.74,0.78,0.07,0.1706
,,,,,,,,
0.0,0.2942,19.1916,1113.88,0.84,0.75,0.79,0.09,0.1836
,,,,,,,,
0.0,0.5904,19.5493,1119.72,0.87,0.79,0.83,0.08,0.1953
,,,,,,,,
0.0,0.0,18.5694,1112.06,0.81,0.72,0.77,0.09,0.1704
,,,,,,,,
0.2923,0.0,19.4096,1120.99,0.85,0.79,0.82,0.06,0.1846
,,,,,,,,
0.0,0.0,18.6499,1113.52,0.83,0.74,0.78,0.09,0.1709
,,,,,,,,
0.0,0.5846,19.5405,1119.74,0.87,0.79,0.83,0.08,0.1951
,,,,,,,,
0.0,0.5708,20.1494,1126.12,0.87,0.83,0.85,0.04,0.1975
,,,,,,,,
0.0,0.2936,19.2656,1113.84,0.84,0.75,0.79,0.09,0.184
,,,,,,,,
0.0,0.5903,20.2069,1126.04,0.87,0.83,0.85,0.04,0.1984
,,,,,,,,
0.0,0.8802,20.2436,1127.57,0.88,0.85,0.86,0.03,0.2081
,,,,,,,,
0.0,0.2997,19.422,1120.95,0.85,0.79,0.82,0.06,0.185
,,,,,,,,
0.2966,0.0,19.4153,1120.97,0.85,0.79,0.82,0.06,0.1848
,,,,,,,,
0.0,0.5951,20.2377,1126.01,0.87,0.83,0.85,0.04,0.1988
,,,,,,,,
0.2263,1.4316,19.0155,1113.65,0.87,0.79,0.83,0.08,0.227
,,,,,,,,
1.7182,1.4864,18.8072,1112.08,0.9,0.82,0.86,0.08,0.2758
,,,,,,,,
1.5561,1.4927,14.6933,1101.26,0.78,0.72,0.75,0.06,0.2449
,,,,,,,,
0.8235,2.4382,15.368,1104.33,0.79,0.74,0.77,0.05,0.2553
,,,,,,,,
0.4732,3.0202,5.9431,,,,,,
1.7126,1.4063,5.0356,1146.18,0.73,0.81,0.77,0.08,0.1902
2.0015,4.3434,3.5534,,,,,,
,,,,,,,,
2.4867,-2.0544,15.7588,,,,,,
2.8203,2.0114,8.5462,,,,,,
1.8008,1.6868,2.9357,1192.58,0.78,0.75,0.77,0.03,0.2247
1.6184,1.8416,8.0809,,,,,,
3.7478,2.6187,3.6679,,,,,,
,,,,,,,,
3.361,3.5998,2.3852,1103.92,0.73,0.78,0.76,0.05,0.2439
,,,,,,,,
3.0523,2.9437,6.0738,,,,,,
1.5448,1.6416,0.6956,1146.74,0.72,0.78,0.75,0.06,0.188
2.6673,1.9984,4.2691,,,,,,
,,,,,,,,
0.2811,1.2606,5.0001,,,,,,
4.5373,1.9497,3.0126,1134.26,0.74,0.78,0.76,0.04,0.1711
,,,,,,,,
0.988,2.0878,2.799,,,,,,
1.9357,3.1667,10.2695,,,,,,
3.568,2.4264,5.2486,1163.8,0.74,0.76,0.75,0.02,0.2084
2.6706,2.245,2.5516,,,,,,
,,,,,,,,
1.0296,0.8267,4.4496,,,,,,
1.4898,0.9219,4.3256,1152.96,0.77,0.83,0.8,0.06,0.1657
2.0985,4.4935,4.9326,,,,,,
,,,,,,,,
5.2691,1.5401,1.0558,,,,,,
1.0882,1.5701,1.4468,1151.53,0.74,0.76,0.75,0.02,0.1753
2.5458,2.4857,3.6915,,,,,,
,,,,,,,,
3.6128,1.8663,5.7893,,,,,,
0.7269,1.1671,6.1787,,,,,,
2.0508,1.5058,10.0646,1167.19,0.74,0.78,0.76,0.04,0.2131
4.2544,1.8779,6.1924,,,,,,
,,,,,,,,
2.7478,3.7918,3.9947,1103.51,0.72,0.81,0.77,0.09,0.2488
,,,,,,,,
0.9006,2.1892,5.4893,,,,,,
1.7509,1.7653,7.079,,,,,,
2.6169,3.6617,6.5554,1189.15,0.73,0.79,0.76,0.06,0.2161
2.3441,2.425,8.9933,,,,,,
2.8198,2.635,3.2321,,,,,,
,,,,,,,,
2.5948,3.1913,8.8607,,,,,,
2.4057,0.8466,2.5971,,,,,,
