capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
5580.0,5.0,2.0,1154.8899999999999,0.9,0.96,0.93,0.06,1.0,1.0,1.0,0.0,0.1153
6630.0,2.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
1323.0,1.0,3.0,,,,,,,,,,
5341.0,10.0,2.0,,,,,,,,,,
7844,0.0,1.0,1149.6,0.85,0.85,0.85,0.0,1.0,1.0,1.0,0.0,0.193
634.0,1.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
1420.0,7.0,2.0,,,,,,,,,,
8874,1.0,1.0,,,,,,,,,,
4232.0,3.0,0.0,1155.96,0.94,0.97,0.95,0.03,1.0,1.0,1.0,0.0,0.1457
6088.0,1.0,4.0,,,,,,,,,,
,,,,,,,,,,,,
2273.0,4.0,2.0,,,,,,,,,,
1757.0,2.0,2.0,,,,,,,,,,
2414.0,-2.0,7.0,1154.96,0.93,0.96,0.95,0.03,1.0,1.0,1.0,0.0,0.1657
8414,1.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
1436.0,12.0,4.0,,,,,,,,,,
5369.0,-1.0,2.0,,,,,,,,,,
8154,9.0,5.0,1153.76,0.92,0.96,0.94,0.04,1.0,1.0,1.0,0.0,0.1687
6753.0,5.0,4.0,,,,,,,,,,
,,,,,,,,,,,,
3334.0,9.0,1.0,,,,,,,,,,
5797.0,5.0,6.0,1142.95,0.97,0.98,0.97,0.01,1.0,1.0,1.0,0.0,0.1978
9871,14.0,2.0,,,,,,,,,,
,,,,,,,,,,,,
3903.0,0.0,0.0,,,,,,,,,,
8019,3.0,1.0,1124.49,0.86,0.88,0.87,0.02,1.0,1.0,1.0,0.0,0.1183
,,,,,,,,,,,,
4921.0,0.0,2.0,,,,,,,,,,
8158,5.0,4.0,1130.97,0.9,0.95,0.93,0.05,1.0,1.0,1.0,0.0,0.188
2924.0,6.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
5380.0,5.0,1.0,,,,,,,,,,
9446,0.0,0.0,1125.69,0.96,0.97,0.96,0.01,1.0,1.0,1.0,0.0,0.1266
,,,,,,,,,,,,
7630,5.0,0.0,,,,,,,,,,
3493.0,13.0,2.0,1135.73,0.81,0.79,0.8,0.02,1.0,1.0,1.0,0.0,0.1454
2645.0,0.0,2.0,,,,,,,,,,
,,,,,,,,,,,,
7786,0.0,5.0,,,,,,,,,,
5773.0,5.0,2.0,1119.1,0.85,0.86,0.85,0.01,1.0,1.0,1.0,0.0,0.1645
,,,,,,,,,,,,
4722.0,2.0,3.0,,,,,,,,,,
2699.0,8.0,1.0,1140.6399999999999,0.97,0.98,0.97,0.01,1.0,1.0,1.0,0.0,0.188
8844,13.0,5.0,,,,,,,,,,
,,,,,,,,,,,,
5159.0,9.0,6.0,,,,,,,,,,
3090.0,1.0,6.0,,,,,,,,,,
299.0,3.0,4.0,1158.03,0.96,0.98,0.97,0.02,1.0,1.0,1.0,0.0,0.1364
9385,9.0,4.0,,,,,,,,,,
,,,,,,,,,,,,
4975.0,5.0,0.0,,,,,,,,,,
784.0,2.0,1.0,1140.52,0.98,0.99,0.98,0.01,1.0,1.0,1.0,0.0,0.0999
8735,12.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
1825.0,5.0,1.0,,,,,,,,,,
4792.0,15.0,1.0,,,,,,,,,,
771.0,11.0,4.0,1151.44,0.92,0.96,0.94,0.04,1.0,1.0,1.0,0.0,0.2153
