FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
0.8896,2.9676,13.2009,,,,,,
,,,,,,,,
0.0,0.0,1.7433,,,,,,
2.0478,1.467,3.5307,,,,,,
1.7793,1.479,2.5307,1200.19,0.76,0.75,0.76,0.01,0.1435
2.078,3.2551,9.8228,,,,,,
,,,,,,,,
1.4939,4.1799,8.06,,,,,,
1.796,2.6887,6.2731,,,,,,
0.8905,0.0,0.852,1194.88,0.72,0.78,0.75,0.06,0.1358
0.2974,0.0,1.7678,,,,,,
,,,,,,,,
10.0,1.4912,1.7754,,,,,,
0.2952,0.2912,0.8404,,,,,,
0.5958,0.8811,2.6771,1198.34,0.84,0.75,0.79,0.09,0.134
1.1842,0.8892,7.9481,,,,,,
,,,,,,,,
0.8924,0.8787,2.6429,,,,,,
2.6653,2.375,6.162,1165.12,0.72,0.78,0.75,0.06,0.1887
2.3676,2.9441,8.0398,,,,,,
,,,,,,,,
0.2993,0.889,3.5712,,,,,,
1.1863,1.1383,5.0316,1179.26,0.8,0.88,0.84,0.08,0.1615
3.1411,4.6257,3.4756,,,,,,
,,,,,,,,
0.0,0.5968,3.5179,,,,,,
0.8327,2.8477,5.2581,1167.35,0.72,0.81,0.77,0.09,0.1672
2.3604,4.4241,5.3424,,,,,,
,,,,,,,,
0.0,0.5929,3.5356,,,,,,
0.5914,1.4708,3.4934,1174.96,0.76,0.84,0.8,0.08,0.1427
2.9232,4.2915,3.8533,,,,,,
,,,,,,,,
0.0,0.0,0.8922,,,,,,
1.1756,0.0,7.0643,,,,,,
2.9258,1.1531,2.6251,1212.04,0.88,0.84,0.86,0.04,0.1485
2.3535,2.9592,14.0963,,,,,,
,,,,,,,,
0.0,0.0,0.8971,,,,,,
0.0,0.2917,1.7361,,,,,,
0.5934,1.1811,0.8973,1199.28,0.72,0.81,0.77,0.09,0.0902
1.6733,4.3128,6.1987,,,,,,
,,,,,,,,
0.0,0.0,1.7978,,,,,,
0.5991,1.4891,6.1697,,,,,,
4.1128,2.0603,16.0466,1204.9,0.88,0.81,0.84,0.07,0.1644
1.4814,2.6585,1.7788,,,,,,
,,,,,,,,
0.0,0.0,0.8405,,,,,,
0.2991,0.8774,5.148,,,,,,
2.0463,1.1867,6.9316,1216.79,0.88,0.94,0.91,0.06,0.159
4.0797,4.4177,8.6138,,,,,,
,,,,,,,,
0.0,0.0,0.7208,,,,,,
0.0,0.2973,3.536,,,,,,
0.5928,2.3382,4.3863,1208.4,0.8,0.88,0.84,0.08,0.1155
3.2221,4.4384,2.6557,,,,,,
,,,,,,,,
0.0,0.0,2.605,,,,,,
0.5879,2.3538,6.1743,,,,,,
1.7666,0.8921,5.3227,1199.47,0.76,0.75,0.76,0.01,0.1514
2.0527,2.9191,10.6286,,,,,,
,,,,,,,,
0.0,0.8563,1.7545,,,,,,
0.7951,2.0096,4.9107,,,,,,
0.8919,1.462,6.2029,1194.31,0.72,0.81,0.77,0.09,0.1455
1.7566,4.5724,4.4498,,,,,,
,,,,,,,,
0.5896,0.8952,6.1512,,,,,,
3.5072,4.1178,5.2843,,,,,,
3.519,4.335,8.0119,1210.53,0.88,0.94,0.91,0.06,0.2286
3.8565,1.7487,0.8362,,,,,,
,,,,,,,,
0.0,0.2962,2.5891,,,,,,
2.0475,2.3064,7.1326,,,,,,
1.4282,2.048,7.0354,1194.6,0.84,0.75,0.79,0.09,0.1755
1.4802,2.3412,13.0257,,,,,,
,,,,,,,,
0.0,0.299,1.7121,,,,,,
1.1765,0.5893,5.284,,,,,,
1.172,2.384,7.0432,1193.28,0.72,0.78,0.75,0.06,0.1536
4.4191,2.6075,5.9585,,,,,,
,,,,,,,,
0.0,0.0,5.3386,,,,,,
0.5959,1.1751,8.8586,,,,,,
2.3695,3.2602,4.368,1195.78,0.72,0.78,0.75,0.06,0.1258
1.4869,0.2666,0.8541,,,,,,
,,,,,,,,
0.0,0.2926,3.5136,,,,,,
1.7691,1.7145,6.2493,,,,,,
1.1649,0.8581,4.4732,1202.62,0.8,0.78,0.79,0.02,0.1565
1.988,2.8998,12.1035,,,,,,
,,,,,,,,
5.3338,0.5859,6.0955,,,,,,
1.7651,0.5891,3.5414,,,,,,
2.029,0.8807,1.7512,1198.77,0.76,0.75,0.76,0.01,0.1592
1.4739,1.1817,7.6672,,,,,,
,,,,,,,,
0.0,0.5813,5.3009,,,,,,
1.47,1.4674,8.8658,,,,,,
3.7169,2.0509,6.9906,1193.56,0.8,0.72,0.76,0.08,0.1471
1.4459,0.2924,0.8592,,,,,,
,,,,,,,,
0.0,0.889,5.2953,,,,,,
4.4287,1.7615,6.1078,,,,,,
3.5175,2.6464,1.7357,1193.58,0.72,0.78,0.75,0.06,0.1502
1.1625,0.1048,0.8918,,,,,,
,,,,,,,,
0.2987,2.6062,8.827,,,,,,
4.6175,4.1214,9.8246,,,,,,
1.73,3.2452,1.7545,1219.09,0.92,1.0,0.96,0.08,0.1968
1.1942,0.2027,0.7311,,,,,,
,,,,,,,,
0.2837,0.5887,3.5787,,,,,,
0.8884,1.1834,2.6088,,,,,,
1.4665,0.877,6.1467,1203.13,0.84,0.78,0.81,0.06,0.1441
1.1604,2.937,13.0282,,,,,,
,,,,,,,,
0.0,0.0,2.4809,,,,,,
0.7798,1.4742,7.0326,,,,,,
2.6472,2.0505,7.0712,1192.95,0.72,0.78,0.75,0.06,0.1572
1.1826,3.188,7.9541,,,,,,
,,,,,,,,
0.0,0.2978,2.6525,,,,,,
0.2278,3.5606,8.7199,,,,,,
