capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
8584,3.0,1.0,1050.4,0.95,0.96,0.95,0.01,0.2271
,,,,,,,,
8694,12.0,0.0,1059.92,0.98,0.99,0.98,0.01,0.0696
,,,,,,,,
8114,6.0,0.0,1058.88,0.94,0.96,0.95,0.02,0.0474
,,,,,,,,
8707,3.0,0.0,1060.79,0.97,0.98,0.97,0.01,0.0392
,,,,,,,,
8565,0.0,0.0,1061.92,0.97,0.97,0.97,0.0,0.0286
,,,,,,,,
8203,0.0,0.0,1057.45,0.93,0.95,0.94,0.02,0.0273
,,,,,,,,
8442,5.0,0.0,1060.59,0.97,0.98,0.97,0.01,0.0451
,,,,,,,,
8505,0.0,0.0,1061.93,0.97,0.97,0.97,0.0,0.0284
,,,,,,,,
8794,0.0,0.0,1061.38,0.97,0.98,0.97,0.01,0.0293
,,,,,,,,
8577,0.0,0.0,1061.92,0.97,0.97,0.97,0.0,0.0286
,,,,,,,,
8595,0.0,0.0,1061.91,0.97,0.97,0.97,0.0,0.0287
,,,,,,,,
8608,0.0,0.0,1061.91,0.97,0.97,0.97,0.0,0.0287
,,,,,,,,
10287,3.0,0.0,1060.62,0.97,0.98,0.97,0.01,0.0445
,,,,,,,,
8394,3.0,0.0,1060.94,0.97,0.98,0.97,0.01,0.0381
,,,,,,,,
9963,9.0,0.0,1060.22,0.98,0.99,0.98,0.01,0.0637
,,,,,,,,
8056,0.0,0.0,1059.36,0.93,0.95,0.94,0.02,0.0269
,,,,,,,,
8506,4.0,0.0,1058.87,0.97,0.98,0.97,0.01,0.0419
,,,,,,,,
7673,2.0,0.0,1054.64,0.86,0.85,0.85,0.01,0.0323
,,,,,,,,
10444,3.0,0.0,1060.6,0.97,0.98,0.97,0.01,0.045
,,,,,,,,
8887,0.0,0.0,1061.37,0.97,0.98,0.97,0.01,0.0296
,,,,,,,,
8187,3.0,0.0,1059.32,0.94,0.95,0.94,0.01,0.0375
,,,,,,,,
8004,3.0,0.0,1058.26,0.91,0.92,0.92,0.01,0.0368
,,,,,,,,
8425,12.0,1.0,1049.99,0.97,0.98,0.97,0.01,0.2571
,,,,,,,,
7979,3.0,0.0,1058.26,0.91,0.92,0.92,0.01,0.0368
,,,,,,,,
8799,3.0,1.0,1050.35,0.95,0.96,0.95,0.01,0.2279
,,,,,,,,
8243,4.0,0.0,1059.15,0.94,0.95,0.94,0.01,0.041
,,,,,,,,
8122,0.0,0.0,1059.34,0.93,0.95,0.94,0.02,0.0271
,,,,,,,,
8447,0.0,0.0,1061.94,0.97,0.97,0.97,0.0,0.0282
,,,,,,,,
7629,3.0,0.0,1050.22,0.82,0.78,0.8,0.04,0.0356
,,,,,,,,
8808,0.0,0.0,1061.38,0.97,0.98,0.97,0.01,0.0294
,,,,,,,,
10357,0.0,3.0,1052.75,0.95,0.97,0.96,0.02,0.179
,,,,,,,,
8222,0.0,0.0,1059.33,0.93,0.95,0.94,0.02,0.0274
,,,,,,,,
8538,0.0,0.0,1061.92,0.97,0.97,0.97,0.0,0.0285
,,,,,,,,
8616,5.0,0.0,1060.56,0.97,0.98,0.97,0.01,0.0457
,,,,,,,,
8298,8.0,2.0,1051.1,0.96,0.98,0.97,0.02,0.221
,,,,,,,,
8678,6.0,0.0,1060.38,0.97,0.98,0.97,0.01,0.0493
,,,,,,,,
8765,0.0,0.0,1061.39,0.97,0.98,0.97,0.01,0.0292
,,,,,,,,
8123,3.0,1.0,1048.8,0.92,0.94,0.93,0.02,0.2256
,,,,,,,,
8545,0.0,0.0,1061.92,0.97,0.97,0.97,0.0,0.0285
,,,,,,,,
8749,3.0,0.0,1060.88,0.97,0.98,0.97,0.01,0.0393
,,,,,,,,
8780,0.0,0.0,1061.38,0.97,0.98,0.97,0.01,0.0293
,,,,,,,,
10083,0.0,0.0,1061.17,0.97,0.98,0.97,0.01,0.0336
,,,,,,,,
8306,0.0,0.0,1061.96,0.97,0.97,0.97,0.0,0.0277
,,,,,,,,
8584,3.0,2.0,1051.4,0.95,0.96,0.95,0.01,0.205
,,,,,,,,
8888,0.0,0.0,1061.37,0.97,0.98,0.97,0.01,0.0296
,,,,,,,,
8853,0.0,0.0,1061.37,0.97,0.98,0.97,0.01,0.0295
,,,,,,,,
8653,0.0,0.0,1061.91,0.97,0.97,0.97,0.0,0.0288
,,,,,,,,
8563,0.0,2.0,1052.01,0.95,0.96,0.95,0.01,0.1948
,,,,,,,,
8674,8.0,0.0,1060.1,0.97,0.99,0.98,0.02,0.056
,,,,,,,,
8712,0.0,0.0,1061.4,0.97,0.98,0.97,0.01,0.029
,,,,,,,,
8621,3.0,0.0,1060.9,0.97,0.98,0.97,0.01,0.0389
,,,,,,,,
8776,0.0,0.0,1061.38,0.97,0.98,0.97,0.01,0.0293
,,,,,,,,
8726,2.0,0.0,1061.05,0.97,0.98,0.97,0.01,0.0359
,,,,,,,,
8788,0.0,0.0,1061.38,0.97,0.98,0.97,0.01,0.0293
,,,,,,,,
8506,3.0,0.0,1060.92,0.97,0.98,0.97,0.01,0.0385
,,,,,,,,
8874,0.0,0.0,1061.37,0.97,0.98,0.97,0.01,0.0296
,,,,,,,,
8090,0.0,0.0,1059.35,0.93,0.95,0.94,0.02,0.027
,,,,,,,,
8208,0.0,0.0,1059.33,0.93,0.95,0.94,0.02,0.0274
,,,,,,,,
8499,3.0,0.0,1060.92,0.97,0.98,0.97,0.01,0.0385
,,,,,,,,
8128,0.0,0.0,1059.34,0.93,0.95,0.94,0.02,0.0271
,,,,,,,,
8655,0.0,0.0,1061.9,0.97,0.97,0.97,0.0,0.0289
,,,,,,,,
8722,3.0,0.0,1060.89,0.97,0.98,0.97,0.01,0.0392
,,,,,,,,
8453,3.0,0.0,1060.93,0.97,0.98,0.97,0.01,0.0383
,,,,,,,,
8310,2.0,0.0,1061.12,0.97,0.98,0.97,0.01,0.0345
,,,,,,,,
8753,0.0,0.0,1061.39,0.97,0.98,0.97,0.01,0.0292
