capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
764.0,8.0,2.0,,,,,,
571.0,3.0,2.0,1099.46,0.98,0.98,0.98,0.0,0.0889
4435.0,0.0,0.0,,,,,,
0.0,2.0,0.0,,,,,,
,,,,,,,,
8898,3.0,6.0,,,,,,
6630.0,-1.0,1.0,,,,,,
6512.0,-17.0,0.0,1075.84,0.96,0.97,0.96,0.01,0.1484
714.0,0.0,2.0,,,,,,
,,,,,,,,
8596,16.0,0.0,,,,,,
4947.0,3.0,0.0,,,,,,
-399.0,3.0,0.0,1084.73,0.99,1.0,0.99,0.01,0.0308
0.0,1.0,0.0,,,,,,
,,,,,,,,
8258,0.0,2.0,1049.46,0.94,0.96,0.95,0.02,0.1974
,,,,,,,,
8040,5.0,1.0,,,,,,
3462.0,-1.0,3.0,,,,,,
2236.0,7.0,1.0,1080.92,0.93,0.94,0.94,0.01,0.2057
2620.0,0.0,1.0,,,,,,
,,,,,,,,
8206,0.0,0.0,,,,,,
2684.0,1.0,2.0,1077.61,0.94,0.95,0.94,0.01,0.0718
1709.0,0.0,0.0,,,,,,
,,,,,,,,
8526,13.0,1.0,,,,,,
2011.0,2.0,1.0,,,,,,
2660.0,0.0,1.0,1096.01,0.98,0.98,0.98,0.0,0.1578
3774.0,0.0,0.0,,,,,,
7377.0,-4.0,7.0,,,,,,
,,,,,,,,
8990,9.0,3.0,,,,,,
6990.0,0.0,4.0,,,,,,
5951.0,3.0,1.0,1075.87,0.97,0.98,0.97,0.01,0.1983
2256.0,4.0,1.0,,,,,,
,,,,,,,,
4064.0,3.0,5.0,,,,,,
2464.0,0.0,1.0,,,,,,
3961.0,1.0,1.0,1094.46,0.97,0.97,0.97,0.0,0.1778
6733.0,6.0,4.0,,,,,,
10288,0.0,3.0,,,,,,
,,,,,,,,
7727,8.0,0.0,,,,,,
0.0,3.0,0.0,1064.86,0.9,0.89,0.9,0.01,0.0315
,,,,,,,,
9300,2.0,2.0,,,,,,
2495.0,0.0,1.0,1076.43,0.97,0.97,0.97,0.0,0.1384
2133.0,0.0,0.0,,,,,,
,,,,,,,,
7878,2.0,0.0,,,,,,
549.0,0.0,1.0,,,,,,
-718.0,2.0,0.0,1087.08,0.92,0.91,0.92,0.01,0.0604
2275.0,0.0,0.0,,,,,,
,,,,,,,,
8591,5.0,3.0,,,,,,
7043.0,3.0,0.0,1065.11,0.97,0.97,0.97,0.0,0.1136
,,,,,,,,
7633,4.0,2.0,,,,,,
2572.0,0.0,1.0,,,,,,
0.0,2.0,0.0,1069.45,0.8,0.71,0.76,0.09,0.1567
2439.0,3.0,1.0,,,,,,
,,,,,,,,
8250,3.0,1.0,1047.54,0.93,0.93,0.93,0.0,0.2297
,,,,,,,,
10032,14.0,6.0,,,,,,
2726.0,1.0,0.0,,,,,,
4344.0,3.0,2.0,1089.1,0.98,0.98,0.98,0.0,0.0959
2948.0,0.0,0.0,,,,,,
,,,,,,,,
8519,4.0,1.0,,,,,,
5685.0,1.0,0.0,1065.89,0.96,0.97,0.96,0.01,0.1282
,,,,,,,,
9255,5.0,1.0,,,,,,
2720.0,0.0,2.0,1072.48,0.97,0.97,0.97,0.0,0.1454
5166.0,0.0,0.0,,,,,,
,,,,,,,,
8974,0.0,0.0,,,,,,
4070.0,2.0,0.0,1079.05,0.98,0.98,0.98,0.0,0.0201
0.0,3.0,0.0,,,,,,
,,,,,,,,
8063,9.0,2.0,,,,,,
0.0,1.0,0.0,1065.94,0.94,0.94,0.94,0.0,0.1153
,,,,,,,,
8113,11.0,2.0,,,,,,
5739.0,11.0,2.0,,,,,,
4998.0,-1.0,0.0,1096.74,0.94,0.94,0.94,0.0,0.0991
2867.0,0.0,0.0,,,,,,
1681.0,0.0,0.0,,,,,,
,,,,,,,,
9147,0.0,1.0,,,,,,
1691.0,3.0,1.0,1072.8,0.96,0.96,0.96,0.0,0.1454
1744.0,0.0,0.0,,,,,,
,,,,,,,,
9198,11.0,2.0,,,,,,
7195.0,3.0,2.0,,,,,,
6622.0,0.0,2.0,1084.57,0.97,0.98,0.97,0.01,0.1656
5475.0,3.0,0.0,,,,,,
,,,,,,,,
4626.0,8.0,2.0,,,,,,
7831,3.0,0.0,,,,,,
0.0,3.0,0.0,1087.3,0.93,0.92,0.93,0.01,0.067
2727.0,0.0,0.0,,,,,,
,,,,,,,,
8458,4.0,2.0,,,,,,
5130.0,5.0,0.0,1071.69,0.96,0.97,0.96,0.01,0.1314
162.0,0.0,3.0,,,,,,
,,,,,,,,
8024,11.0,0.0,,,,,,
5353.0,3.0,0.0,1076.21,0.94,0.94,0.94,0.0,0.0329
0.0,2.0,0.0,,,,,,
,,,,,,,,
8837,1.0,1.0,,,,,,
0.0,3.0,0.0,1078.77,0.96,0.96,0.96,0.0,0.0806
0.0,2.0,0.0,,,,,,
,,,,,,,,
8306,2.0,0.0,1058.34,0.98,0.98,0.98,0.0,0.0345
,,,,,,,,
8101,21.0,5.0,,,,,,
7440.0,9.0,1.0,,,,,,
2831.0,0.0,0.0,1079.62,0.96,0.96,0.96,0.0,0.1195
2217.0,3.0,0.0,,,,,,
,,,,,,,,
8445,0.0,0.0,,,,,,
5744.0,0.0,0.0,1072.72,0.98,0.98,0.98,0.0,0.0237
,,,,,,,,
8107,6.0,6.0,,,,,,
4713.0,6.0,1.0,,,,,,
3651.0,9.0,1.0,1091.92,0.94,0.94,0.94,0.0,0.1955
2592.0,3.0,3.0,,,,,,
3791.0,3.0,1.0,,,,,,
,,,,,,,,
8665,2.0,2.0,,,,,,
2948.0,0.0,0.0,1075.12,0.96,0.96,0.96,0.0,0.0741
0.0,2.0,0.0,,,,,,
,,,,,,,,
8222,22.0,9.0,,,,,,
5554.0,4.0,0.0,,,,,,
2802.0,0.0,0.0,1091.05,0.98,0.99,0.98,0.01,0.047
1845.0,1.0,0.0,,,,,,
,,,,,,,,
8508,9.0,3.0,1050.59,0.97,0.98,0.97,0.01,0.2068
,,,,,,,,
8998,8.0,1.0,,,,,,
2592.0,0.0,3.0,1072.1,0.97,0.98,0.97,0.01,0.1381
2597.0,0.0,0.0,,,,,,
,,,,,,,,
9762,3.0,0.0,,,,,,
2691.0,0.0,0.0,1072.61,0.98,0.98,0.98,0.0,0.0258
,,,,,,,,
8126,3.0,0.0,,,,,,
418.0,0.0,0.0,1068.22,0.95,0.96,0.95,0.01,0.0193
,,,,,,,,
10299,6.0,2.0,,,,,,
2667.0,2.0,2.0,,,,,,
2923.0,0.0,1.0,1095.27,0.97,0.98,0.97,0.01,0.1516
2935.0,1.0,4.0,,,,,,
0.0,2.0,0.0,,,,,,
,,,,,,,,
8715,2.0,0.0,1058.27,0.98,0.98,0.98,0.0,0.0358
,,,,,,,,
9294,3.0,1.0,,,,,,
1548.0,0.0,0.0,1075.68,0.97,0.97,0.97,0.0,0.1535
5945.0,3.0,1.0,,,,,,
,,,,,,,,
3367.0,5.0,1.0,,,,,,
8351,0.0,1.0,1061.8,0.96,0.96,0.96,0.0,0.2201
,,,,,,,,
8297,0.0,0.0,1062.52,0.98,0.98,0.98,0.0,0.0277
,,,,,,,,
4060.0,7.0,6.0,,,,,,
8046,3.0,0.0,1062.49,0.95,0.96,0.95,0.01,0.08
,,,,,,,,
8272,6.0,3.0,,,,,,
3799.0,12.0,1.0,,,,,,
6982.0,2.0,0.0,1083.46,0.95,0.96,0.95,0.01,0.1657
2483.0,4.0,2.0,,,,,,
,,,,,,,,
10303,15.0,3.0,,,,,,
4399.0,6.0,0.0,,,,,,
0.0,3.0,0.0,1100.39,0.98,0.99,0.98,0.01,0.0603
2837.0,2.0,0.0,,,,,,
0.0,2.0,0.0,,,,,,
,,,,,,,,
8577,6.0,1.0,,,,,,
5459.0,0.0,1.0,,,,,,
0.0,6.0,0.0,1087.33,0.97,0.97,0.97,0.0,0.1204
0.0,3.0,0.0,,,,,,
,,,,,,,,
2995.0,3.0,1.0,,,,,,
7875,6.0,2.0,1068.01,0.92,0.9,0.91,0.02,0.144
0.0,1.0,0.0,,,,,,
,,,,,,,,
7880,2.0,1.0,,,,,,
2550.0,2.0,0.0,1062.49,0.91,0.89,0.9,0.02,0.1202
,,,,,,,,
8033,0.0,2.0,1050.77,0.92,0.92,0.92,0.0,0.1967
,,,,,,,,
5824.0,2.0,1.0,,,,,,
2770.0,0.0,0.0,,,,,,
8067,4.0,2.0,1094.74,0.93,0.94,0.94,0.01,0.1292
2746.0,0.0,1.0,,,,,,
2105.0,0.0,0.0,,,,,,
,,,,,,,,
7145,24.0,10.0,,,,,,
7137.0,4.0,1.0,,,,,,
2369.0,2.0,4.0,1084.3,0.85,0.81,0.83,0.04,0.187
1964.0,3.0,1.0,,,,,,
4907.0,2.0,1.0,,,,,,
,,,,,,,,
8075,18.0,1.0,,,,,,
5539.0,0.0,0.0,1073.56,0.96,0.96,0.96,0.0,0.1052
5151.0,0.0,0.0,,,,,,
,,,,,,,,
8465,13.0,2.0,,,,,,
2850.0,0.0,0.0,1079.7,0.98,0.98,0.98,0.0,0.084
-1222.0,0.0,0.0,,,,,,
,,,,,,,,
9833,8.0,1.0,1046.18,0.97,0.98,0.97,0.01,0.2519
,,,,,,,,
8521,6.0,0.0,,,,,,
0.0,2.0,0.0,1082.8,0.98,0.98,0.98,0.0,0.0219
0.0,3.0,0.0,,,,,,
,,,,,,,,
8412,0.0,1.0,,,,,,
5838.0,0.0,0.0,1066.81,0.96,0.96,0.96,0.0,0.1198
,,,,,,,,
8759,13.0,3.0,,,,,,
1090.0,4.0,1.0,,,,,,
5507.0,8.0,1.0,1094.95,0.98,0.98,0.98,0.0,0.179
2955.0,5.0,1.0,,,,,,
2483.0,0.0,0.0,,,,,,
,,,,,,,,
8203,0.0,1.0,,,,,,
2089.0,0.0,2.0,,,,,,
0.0,1.0,0.0,1085.49,0.92,0.92,0.92,0.0,0.1023
2869.0,0.0,0.0,,,,,,
,,,,,,,,
3028.0,3.0,5.0,,,,,,
8477,2.0,0.0,,,,,,
3339.0,3.0,1.0,1086.68,0.98,0.98,0.98,0.0,0.1445
1456.0,2.0,1.0,,,,,,
,,,,,,,,
8615,0.0,3.0,,,,,,
0.0,1.0,0.0,1065.74,0.96,0.96,0.96,0.0,0.09
,,,,,,,,
10420,11.0,1.0,,,,,,
2400.0,1.0,2.0,1072.78,0.98,0.98,0.98,0.0,0.1518
0.0,3.0,0.0,,,,,,
,,,,,,,,
10348,0.0,1.0,1052.02,0.97,0.97,0.97,0.0,0.2266
,,,,,,,,
4879.0,13.0,6.0,,,,,,
7916,5.0,1.0,1069.03,0.91,0.9,0.91,0.01,0.1309
1317.0,2.0,0.0,,,,,,
,,,,,,,,
9724,13.0,3.0,,,,,,
6514.0,11.0,0.0,1071.98,0.98,0.98,0.98,0.0,0.1616
2855.0,0.0,1.0,,,,,,
,,,,,,,,
7760,8.0,1.0,,,,,,
7044.0,2.0,0.0,,,,,,
5406.0,2.0,0.0,1093.94,0.92,0.92,0.92,0.0,0.1332
4066.0,10.0,5.0,,,,,,
1242.0,5.0,1.0,,,,,,
,,,,,,,,
8349,17.0,4.0,,,,,,
5350.0,12.0,2.0,,,,,,
3215.0,0.0,2.0,1077.74,0.98,0.99,0.98,0.01,0.1595
2172.0,3.0,0.0,,,,,,
,,,,,,,,
8722,0.0,1.0,1051.74,0.96,0.96,0.96,0.0,0.2211
,,,,,,,,
8776,9.0,2.0,,,,,,
5578.0,2.0,0.0,1075.3,0.97,0.98,0.97,0.01,0.1509
1695.0,0.0,1.0,,,,,,
,,,,,,,,
8061,3.0,1.0,,,,,,
2444.0,0.0,1.0,1060.42,0.93,0.93,0.93,0.0,0.2146
,,,,,,,,
2997.0,5.0,0.0,,,,,,
399.0,0.0,0.0,,,,,,
8292,1.0,0.0,1092.43,0.97,0.97,0.97,0.0,0.0183
1120.0,3.0,0.0,,,,,,
,,,,,,,,
10540,2.0,2.0,,,,,,
2937.0,6.0,2.0,,,,,,
1443.0,0.0,0.0,1098.44,0.97,0.98,0.97,0.01,0.0882
0.0,2.0,0.0,,,,,,
5279.0,0.0,0.0,,,,,,
,,,,,,,,
7928,0.0,0.0,,,,,,
1696.0,0.0,0.0,,,,,,
2410.0,2.0,0.0,1097.49,0.92,0.91,0.92,0.01,0.0522
2764.0,1.0,1.0,,,,,,
2823.0,0.0,0.0,,,,,,
,,,,,,,,
10108,2.0,0.0,,,,,,
1464.0,3.0,2.0,1079.97,0.98,0.98,0.98,0.0,0.0785
0.0,3.0,0.0,,,,,,
,,,,,,,,
8507,0.0,1.0,1051.78,0.96,0.96,0.96,0.0,0.2204
,,,,,,,,
10366,0.0,0.0,1062.17,0.98,0.98,0.98,0.0,0.0346
,,,,,,,,
4424.0,0.0,1.0,,,,,,
9834,9.0,0.0,,,,,,
5173.0,0.0,2.0,1098.85,0.98,0.98,0.98,0.0,0.1011
1547.0,8.0,0.0,,,,,,
1706.0,3.0,0.0,,,,,,
,,,,,,,,
10316,9.0,1.0,,,,,,
0.0,3.0,0.0,1067.22,0.98,0.98,0.98,0.0,0.1336
,,,,,,,,
5672.0,11.0,2.0,,,,,,
8747,6.0,0.0,1064.31,0.98,0.98,0.98,0.0,0.1378
,,,,,,,,
2991.0,3.0,1.0,,,,,,
7686.0,2,2.0,,,,,,
4512.0,0.0,0.0,1074.55,0.83,0.76,0.79,0.07,0.108
703.0,0.0,0.0,,,,,,
,,,,,,,,
8819,29.0,4.0,,,,,,
2479.0,9.0,1.0,1072.96,1.0,1.0,1.0,0.0,0.1641
2420.0,0.0,0.0,,,,,,
,,,,,,,,
4217.0,5.0,1.0,,,,,,
8216,8.0,1.0,,,,,,
