FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
2.2664,3.7303,5.2001,1138.04,0.89,0.84,0.86,0.05,3.0,3.0,3.0,0.0,0.1742
3.8103,2.052,1.7756,,,,,,,,,,
,,,,,,,,,,,,
0.0,0.0,1.7319,,,,,,,,,,
0.8659,1.4285,4.2501,,,,,,,,,,
2.9061,2.3654,11.489,1118.0,0.93,0.84,0.89,0.09,2.0,2.0,2.0,0.0,0.1901
3.4636,3.7921,10.5237,,,,,,,,,,
,,,,,,,,,,,,
0.0,0.0,0.897,,,,,,,,,,
0.2659,0.2979,5.3133,,,,,,,,,,
1.7501,2.351,8.9353,1124.66,0.96,1.0,0.98,0.04,2.0,2.0,2.0,0.0,0.1967
6.5508,9.4028,6.2426,,,,,,,,,,
,,,,,,,,,,,,
0.0,0.0,0.8821,,,,,,,,,,
0.297,1.4206,3.5651,,,,,,,,,,
2.0131,2.3218,5.2209,1117.46,0.78,0.74,0.76,0.04,2.0,2.0,2.0,0.0,0.1209
2.9372,2.0656,1.7729,,,,,,,,,,
,,,,,,,,,,,,
0.5967,0.0,4.3463,,,,,,,,,,
0.0,0.2989,3.5062,1087.87,0.85,0.79,0.82,0.06,1.0,1.0,1.0,0.0,0.1276
2.0508,4.4309,6.1646,,,,,,,,,,
,,,,,,,,,,,,
0.0,0.0,0.8462,,,,,,,,,,
0.0,0.2969,3.5602,,,,,,,,,,
0.0,0.8853,3.5913,1101.42,0.85,0.79,0.82,0.06,1.0,1.0,1.0,0.0,0.1066
2.0588,3.8585,11.4238,,,,,,,,,,
,,,,,,,,,,,,
0.2948,0.5933,3.5664,,,,,,,,,,
0.296,0.595,4.3448,1086.32,0.78,0.74,0.76,0.04,1.0,1.0,1.0,0.0,0.1187
2.3683,4.1107,0.8785,,,,,,,,,,
,,,,,,,,,,,,
0.0,0.0,0.8833,,,,,,,,,,
0.2983,0.5923,4.2082,,,,,,,,,,
0.5866,0.0,6.2487,1102.48,0.93,0.84,0.89,0.09,1.0,1.0,1.0,0.0,0.1254
1.1848,4.2643,19.5637,,,,,,,,,,
,,,,,,,,,,,,
0.8886,2.012,4.4512,,,,,,,,,,
2.3443,2.0504,2.6145,1084.21,0.78,0.74,0.76,0.04,1.0,1.0,1.0,0.0,0.1608
1.418,3.7548,0.8879,,,,,,,,,,
,,,,,,,,,,,,
0.5814,0.5733,3.4958,,,,,,,,,,
1.772,2.3768,5.3269,1103.78,0.93,0.84,0.89,0.09,2.0,2.0,2.0,0.0,0.2245
1.4871,9.5009,16.9296,,,,,,,,,,
,,,,,,,,,,,,
1.1698,1.1885,2.5911,,,,,,,,,,
1.1862,0.591,6.2269,1086.0,0.93,0.84,0.89,0.09,1.0,1.0,1.0,0.0,0.2049
2.3363,6.9878,12.2403,,,,,,,,,,
,,,,,,,,,,,,
0.0,0.0,0.8814,,,,,,,,,,
1.1824,1.1035,3.5156,,,,,,,,,,
0.8815,0.5891,2.6791,1103.24,0.89,0.84,0.86,0.05,1.0,1.0,1.0,0.0,0.1201
4.4306,3.8548,1.773,,,,,,,,,,
,,,,,,,,,,,,
0.0,0.0,0.8877,,,,,,,,,,
0.2551,0.8759,5.313,,,,,,,,,,
1.7743,0.5979,4.3779,1098.18,0.81,0.74,0.78,0.07,1.0,1.0,1.0,0.0,0.1215
2.3765,3.8303,5.3518,,,,,,,,,,
,,,,,,,,,,,,
0.2988,0.2772,3.5476,,,,,,,,,,
2.0485,0.5917,10.6997,,,,,,,,,,
2.6695,1.7831,16.8692,1141.6,1.0,1.0,1.0,0.0,3.0,3.0,3.0,0.0,0.2931
8.3023,10.0,30.0,,,,,,,,,,
,,,,,,,,,,,,
0.0,0.0,0.8994,,,,,,,,,,
0.8689,1.1753,4.4207,,,,,,,,,,
1.1861,0.2959,2.6409,1099.59,0.78,0.74,0.76,0.04,1.0,1.0,1.0,0.0,0.1032
0.8935,4.4341,4.4023,,,,,,,,,,
,,,,,,,,,,,,
0.0,0.0,0.873,,,,,,,,,,
2.2871,3.4354,10.37,,,,,,,,,,
